,payloads,length,nonprintable_keywords,special_chars,punctuation_chars,js_events,html_tags,sql_keywords,percentage_count,spaces_count,is_malicious
17876,Naya Rivera,11,0,0,0,0,0,0,0,1,0
17877,NBA,3,0,0,0,0,0,0,0,0,0
17878,Premier League,14,0,0,0,0,0,0,0,1,0
17879,Black Friday,12,0,0,0,0,0,0,0,1,0
17880,Dalgona Coffee,14,0,0,0,0,0,0,0,1,0
17881,Lockdown,8,0,0,0,0,0,0,0,0,0
17882,Coronavirus,11,0,0,0,0,0,0,0,0,0
17883,Google Classroom,16,0,0,0,0,0,0,0,1,0
17884,Elecciones Estados Unidos,25,0,0,0,0,0,0,0,2,0
17885,Zoom,4,0,0,0,0,0,0,0,0,0
17886,Champions League,16,0,0,0,0,0,0,0,1,0
17887,Bono Familia,12,0,0,0,0,0,0,0,1,0
17888,Ivermectina,11,0,0,0,0,0,0,0,0,0
17889,Coronavirus en el mundo,23,0,0,0,0,0,41,0,3,0
17890,Coronavirus,11,0,0,0,0,0,0,0,0,0
17891,Elecciones Estados Unidos,25,0,0,0,0,0,0,0,2,0
17892,Joe Biden,9,0,0,0,0,0,0,0,1,0
17893,Will Smith,10,0,0,0,0,0,0,0,1,0
17894,Kim Jong-un,11,0,1,1,0,0,0,0,1,0
17895,Trump,5,0,0,0,0,0,0,0,0,0
17896,Tom Hanks,9,0,0,0,0,0,0,0,1,0
17897,Kobe Bryant,11,0,0,0,0,0,0,0,1,0
17898,Maradona,8,0,0,0,0,0,0,0,0,0
17899,Naya Rivera,11,0,0,0,0,0,0,0,1,0
17900,Chadwick Boseman,16,0,0,0,0,0,0,0,1,0
17901,George Floyd,12,0,0,0,0,0,0,0,1,0
17902,Cobra Kai,9,0,0,0,0,0,0,0,1,0
17903,Oscuro deseo,12,0,0,0,0,0,0,0,1,0
17904,Anne with an E,14,0,0,0,0,0,281,0,3,0
17905,Vis a vis,9,0,0,0,0,0,179,0,2,0
17906,Chernobyl,9,0,0,0,0,0,0,0,0,0
17907,365 Dni,7,0,0,0,0,0,0,0,1,0
17908,Annabelle,9,0,0,0,0,0,0,0,0,0
17909,Milagro en la celda 7,21,0,0,0,0,0,46,0,4,0
17910,Parasite,8,0,0,0,0,0,0,0,0,0
17911,Wonder,6,0,0,0,0,0,0,0,0,0
17912,Danna Paola,11,0,0,0,0,0,0,0,1,0
17913,Patricia Sandoval,17,0,0,0,0,0,0,0,1,0
17914,Karla Panini,12,0,0,0,0,0,0,0,1,0
17915,Amber Heard,11,0,0,0,0,0,0,0,1,0
17916,Tusa,4,0,0,0,0,0,0,0,0,0
17917,Christian Nodal,15,0,0,0,0,0,0,0,1,0
17918,Dance Monkey,12,0,0,0,0,0,0,0,1,0
17919,August Alsina,13,0,0,0,0,0,0,0,1,0
17920,Champions League,16,0,0,0,0,0,0,0,1,0
17921,La Liga,7,0,0,0,0,0,15,0,1,0
17922,Serie A,7,0,0,0,0,0,179,0,1,0
17923,NBA,3,0,0,0,0,0,0,0,0,0
17924,Real Madrid contra Inter,24,0,0,0,0,0,5,0,3,0
17925,HKTVmall,8,0,0,0,0,0,0,0,0,0
17926,BNO,3,0,0,0,0,0,0,0,0,0
17927,Google Classroom,16,0,0,0,0,0,0,0,1,0
17928,Telex,5,0,0,0,0,0,0,0,0,0
17929,Benedek Tibor,13,0,0,0,0,0,0,0,1,0
17930,Google Classroom,16,0,0,0,0,0,0,0,1,0
17931,Redmenta,8,0,0,0,0,0,0,0,0,0
17932,Zoom,4,0,0,0,0,0,0,0,0,0
17933,Megan is Missing,16,0,0,0,0,0,13,0,2,0
17934,365 Nap,7,0,0,0,0,0,0,0,1,0
17935,iPhone 12,9,0,0,0,0,0,0,0,1,0
17936,iPhone 11,9,0,0,0,0,0,0,0,1,0
17937,PS5,3,0,0,0,0,0,0,0,0,0
17938,Xbox Series X,13,0,0,0,0,0,22,0,2,0
17939,Huawei P30 Lite,15,0,0,0,0,0,0,0,2,0
17940,Kisasszonyok,12,0,0,0,0,0,0,0,0,0
17941,365 nap,7,0,0,0,0,0,0,0,1,0
17942,Palacsintarecept,16,0,0,0,0,0,0,0,0,0
17943,Bulgurrecept,12,0,0,0,0,0,0,0,0,0
17944,Karajrecept,11,0,0,0,0,0,0,0,0,0
17945,Apatigris,9,0,0,0,0,0,0,0,0,0
17946,Fradi-Juventus,14,0,1,1,0,0,0,0,0,0
17947,Indian Premier League,21,0,0,0,0,0,0,0,2,0
17948,Coronavirus,11,0,0,0,0,0,0,0,0,0
17949,US election results,19,0,0,0,0,0,10,0,2,0
17950,PM Kisan Yojana,15,0,0,0,0,0,0,0,2,0
17951,Bihar election results,22,0,0,0,0,0,0,0,2,0
17952,Food shelters near me,21,0,0,0,0,0,22,0,3,0
17953,COVID test near me,18,0,0,0,0,0,22,0,3,0
17954,Crackers shop near me,21,0,0,0,0,0,22,0,3,0
17955,Liquor shops near me,20,0,0,0,0,0,22,0,3,0
17956,Night shelter near me,21,0,0,0,0,0,22,0,3,0
17957,How to make paneer,18,0,0,0,0,0,10,0,3,0
17958,How to increase immunity,24,0,0,0,0,0,10,0,3,0
17959,How to make dalgona coffee,26,0,0,0,0,0,10,0,4,0
17960,How to link PAN card with aadhaar card,38,0,0,0,0,0,12,0,7,0
17961,How to make sanitizer at home,29,0,0,0,0,0,54,0,5,0
17962,Dil Bechara,11,0,0,0,0,0,0,0,1,0
17963,Soorarai Pottru,15,0,0,0,0,0,0,0,1,0
17964,Tanhaji,7,0,0,0,0,0,0,0,0,0
